run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1869.10,2451.48,2154.76,1450476827,1450476929,200.19.151.143,2015-12-18 22:15:29 2015 UTC,2,100000,10,10000,0,0,32174,5320,26852,8,2,35,1,OpenDaylight,8307,8329
1,2313.99,2770.89,2555.67,1450476945,1450477048,200.19.151.143,2015-12-18 22:17:28 2015 UTC,2,100000,10,10000,0,0,32174,6074,26098,8,1,34,1,OpenDaylight,8333,8355
2,2451.30,2850.17,2711.91,1450477066,1450477169,200.19.151.143,2015-12-18 22:19:29 2015 UTC,2,100000,10,10000,0,0,32174,6105,26068,8,1,92,1,OpenDaylight,8360,8384
3,2290.49,2840.14,2681.10,1450477192,1450477295,200.19.151.143,2015-12-18 22:21:35 2015 UTC,2,100000,10,10000,0,0,32174,6107,26066,8,1,48,1,OpenDaylight,8390,8414
4,2540.80,2789.06,2690.58,1450477321,1450477424,200.19.151.143,2015-12-18 22:23:44 2015 UTC,2,100000,10,10000,0,0,32174,6151,26022,8,1,76,1,OpenDaylight,8424,8448
5,2131.38,2725.74,2458.51,1450477454,1450477557,200.19.151.143,2015-12-18 22:25:58 2015 UTC,2,100000,10,10000,0,0,32174,6153,26021,8,1,83,1,OpenDaylight,8454,8483
6,2616.50,2853.57,2728.58,1450477572,1450477675,200.19.151.143,2015-12-18 22:27:55 2015 UTC,2,100000,10,10000,0,0,32174,6190,25983,8,1,77,1,OpenDaylight,8486,8510
7,2167.37,2861.10,2738.89,1450477688,1450477790,200.19.151.143,2015-12-18 22:29:50 2015 UTC,2,100000,10,10000,0,0,32174,6198,25976,8,1,81,1,OpenDaylight,8513,8535
8,2621.84,2820.00,2711.19,1450477807,1450477910,200.19.151.143,2015-12-18 22:31:50 2015 UTC,2,100000,10,10000,0,0,32174,6241,25933,8,1,92,1,OpenDaylight,8540,8560
9,2128.40,2712.60,2499.10,1450477930,1450478033,200.19.151.143,2015-12-18 22:33:53 2015 UTC,2,100000,10,10000,0,0,32174,6255,25924,8,1,13,1,OpenDaylight,8564,8588
