run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1993.76,2498.60,2194.10,1450476824,1450476926,200.19.151.143,2015-12-18 22:15:26 2015 UTC,2,100000,10,10000,0,0,32174,5321,26851,8,2,30,1,OpenDaylight,8304,8329
1,2289.90,2881.69,2545.36,1450476942,1450477045,200.19.151.143,2015-12-18 22:17:25 2015 UTC,2,100000,10,10000,0,0,32174,6076,26098,8,1,37,1,OpenDaylight,8333,8354
2,2469.99,2735.77,2646.03,1450477064,1450477166,200.19.151.143,2015-12-18 22:19:26 2015 UTC,2,100000,10,10000,0,0,32174,6110,26063,8,1,82,1,OpenDaylight,8358,8383
3,2417.69,2897.16,2806.65,1450477188,1450477291,200.19.151.143,2015-12-18 22:21:32 2015 UTC,2,100000,10,10000,0,0,32174,6106,26066,8,1,61,1,OpenDaylight,8389,8414
4,2029.29,2389.99,2195.42,1450477318,1450477421,200.19.151.143,2015-12-18 22:23:41 2015 UTC,2,100000,10,10000,0,0,32174,6153,26020,8,1,56,1,OpenDaylight,8423,8447
5,1542.75,2466.85,2109.38,1450477450,1450477554,200.19.151.143,2015-12-18 22:25:54 2015 UTC,2,100000,10,10000,0,0,32174,6153,26021,8,1,20,1,OpenDaylight,8453,8482
6,2471.50,2863.17,2694.69,1450477571,1450477673,200.19.151.143,2015-12-18 22:27:53 2015 UTC,2,100000,10,10000,0,0,32174,6190,25982,8,1,77,1,OpenDaylight,8486,8510
7,2464.70,2826.60,2695.89,1450477686,1450477789,200.19.151.143,2015-12-18 22:29:49 2015 UTC,2,100000,10,10000,0,0,32174,6200,25975,8,1,81,1,OpenDaylight,8513,8535
8,2661.10,2872.87,2786.65,1450477806,1450477908,200.19.151.143,2015-12-18 22:31:48 2015 UTC,2,100000,10,10000,0,0,32174,6240,25934,8,1,92,1,OpenDaylight,8539,8560
9,2145.67,2724.27,2546.66,1450477929,1450478032,200.19.151.143,2015-12-18 22:33:52 2015 UTC,2,100000,10,10000,0,0,32174,6250,25922,8,1,14,1,OpenDaylight,8564,8588
