run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1295.48,1546.10,1441.95,1450476828,1450476931,200.19.151.143,2015-12-18 22:15:31 2015 UTC,2,100000,10,10000,0,0,32174,5320,26854,8,2,35,1,OpenDaylight,8307,8331
1,1521.69,1887.20,1666.92,1450476953,1450477056,200.19.151.143,2015-12-18 22:17:36 2015 UTC,2,100000,10,10000,0,0,32174,6074,26099,8,1,31,1,OpenDaylight,8334,8358
2,1259.56,2123.60,1878.33,1450477082,1450477185,200.19.151.143,2015-12-18 22:19:45 2015 UTC,2,100000,10,10000,0,0,32174,6107,26064,8,1,80,1,OpenDaylight,8363,8388
3,1688.29,2107.76,2022.21,1450477217,1450477321,200.19.151.143,2015-12-18 22:22:01 2015 UTC,2,100000,10,10000,0,0,32174,6107,26067,8,1,03,1,OpenDaylight,8395,8424
4,1399.88,2017.39,1880.49,1450477359,1450477464,200.19.151.143,2015-12-18 22:24:24 2015 UTC,2,100000,10,10000,0,0,32174,6151,26022,8,1,44,1,OpenDaylight,8433,8457
5,1776.20,2078.99,1909.36,1450477507,1450477611,200.19.151.143,2015-12-18 22:26:52 2015 UTC,2,100000,10,10000,0,0,32174,6154,26018,8,1,68,1,OpenDaylight,8471,8496
6,1750.30,2280.19,1977.06,1450477655,1450477757,200.19.151.143,2015-12-18 22:29:18 2015 UTC,2,100000,10,10000,0,0,32174,6199,25974,8,2,23,1,OpenDaylight,8505,8526
7,1700.54,2659.28,1936.95,1450477775,1450477878,200.19.151.143,2015-12-18 22:31:18 2015 UTC,2,100000,10,10000,0,0,32174,6232,25942,8,1,41,1,OpenDaylight,8532,8552
8,1831.06,2432.39,1999.62,1450477901,1450478004,200.19.151.143,2015-12-18 22:33:24 2015 UTC,2,100000,10,10000,0,0,32174,6240,25934,8,1,16,1,OpenDaylight,8558,8581
9,1082.28,2675.32,1963.48,1450478035,1450478139,200.19.151.143,2015-12-18 22:35:39 2015 UTC,2,100000,10,10000,0,0,32174,6237,25936,8,0,67,1,OpenDaylight,8589,8610
