run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,2634.25,3184.68,2935.50,1450471042,1450471144,200.19.151.143,2015-12-18 20:39:04 2015 UTC,4,100000,10,10000,0,0,32174,6248,25926,8,5,78,2,OpenDaylight,5114,6417
1,3598.70,3999.94,3820.74,1450471160,1450471263,200.19.151.143,2015-12-18 20:41:03 2015 UTC,4,100000,10,10000,0,0,32174,6456,25719,8,2,74,2,OpenDaylight,6487,6531
2,3239.32,3702.77,3537.11,1450471281,1450471384,200.19.151.143,2015-12-18 20:43:04 2015 UTC,4,100000,10,10000,0,0,32174,6463,25710,8,2,22,2,OpenDaylight,6538,6579
3,3735.26,4140.25,3879.70,1450471406,1450471509,200.19.151.143,2015-12-18 20:45:09 2015 UTC,4,100000,10,10000,0,0,32174,6478,25695,8,1,95,1,OpenDaylight,6585,6608
4,3468.53,3804.35,3655.86,1450471535,1450471638,200.19.151.143,2015-12-18 20:47:18 2015 UTC,4,100000,10,10000,0,0,32174,6779,25395,8,2,78,2,OpenDaylight,6614,6643
5,3697.07,3950.86,3853.27,1450471668,1450471771,200.19.151.143,2015-12-18 20:49:32 2015 UTC,4,100000,10,10000,0,0,32174,6789,25385,8,1,64,1,OpenDaylight,6649,6671
6,3648.58,3920.66,3772.82,1450471790,1450471892,200.19.151.143,2015-12-18 20:51:33 2015 UTC,4,100000,10,10000,0,0,32174,6820,25352,8,1,76,1,OpenDaylight,6676,6702
7,3415.97,3649.80,3534.21,1450471905,1450472008,200.19.151.143,2015-12-18 20:53:28 2015 UTC,4,100000,10,10000,0,0,32174,6821,25351,8,2,11,1,OpenDaylight,6704,6728
8,3683.67,3917.27,3794.39,1450472024,1450472127,200.19.151.143,2015-12-18 20:55:27 2015 UTC,4,100000,10,10000,0,0,32174,6821,25354,8,2,65,2,OpenDaylight,6734,6763
9,3800.79,4083.34,3908.92,1450472147,1450472250,200.19.151.143,2015-12-18 20:57:30 2015 UTC,4,100000,10,10000,0,0,32174,6832,25341,8,2,30,2,OpenDaylight,6772,6802
