run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1890.82,2144.87,2010.12,1450471042,1450471145,200.19.151.143,2015-12-18 20:39:05 2015 UTC,4,100000,10,10000,0,0,32174,6247,25928,8,5,78,2,OpenDaylight,5114,6418
1,2096.08,2283.68,2229.12,1450471168,1450471271,200.19.151.143,2015-12-18 20:41:12 2015 UTC,4,100000,10,10000,0,0,32174,6454,25718,8,2,55,2,OpenDaylight,6492,6535
2,2157.49,2360.44,2236.47,1450471300,1450471404,200.19.151.143,2015-12-18 20:43:24 2015 UTC,4,100000,10,10000,0,0,32174,6466,25707,8,1,82,1,OpenDaylight,6556,6585
3,2074.42,2558.09,2219.39,1450471439,1450471543,200.19.151.143,2015-12-18 20:45:44 2015 UTC,4,100000,10,10000,0,0,32174,6512,25661,8,1,86,1,OpenDaylight,6594,6616
4,1551.67,2198.54,1981.21,1450471583,1450471687,200.19.151.143,2015-12-18 20:48:08 2015 UTC,4,100000,10,10000,0,0,32174,6781,25393,8,2,18,2,OpenDaylight,6623,6652
5,2157.33,2364.42,2227.03,1450471725,1450471829,200.19.151.143,2015-12-18 20:50:30 2015 UTC,4,100000,10,10000,0,0,32174,6792,25382,8,1,95,2,OpenDaylight,6660,6687
6,2039.05,2158.16,2122.88,1450471854,1450471956,200.19.151.143,2015-12-18 20:52:36 2015 UTC,4,100000,10,10000,0,0,32174,6819,25354,8,1,42,1,OpenDaylight,6692,6715
7,2143.76,2313.94,2230.25,1450471976,1450472079,200.19.151.143,2015-12-18 20:54:39 2015 UTC,4,100000,10,10000,0,0,32174,6819,25353,8,2,50,2,OpenDaylight,6719,6752
8,2008.88,2386.54,2261.01,1450472106,1450472209,200.19.151.143,2015-12-18 20:56:49 2015 UTC,4,100000,10,10000,0,0,32174,6834,25336,8,2,18,2,OpenDaylight,6759,6790
9,1742.48,2437.09,2224.51,1450472238,1450472341,200.19.151.143,2015-12-18 20:59:02 2015 UTC,4,100000,10,10000,0,0,32174,6832,25341,8,1,39,1,OpenDaylight,6797,6822
