run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,2657.77,3076.19,2920.40,1450471038,1450471140,200.19.151.143,2015-12-18 20:39:00 2015 UTC,4,100000,10,10000,0,0,32174,6249,25924,8,5,67,2,OpenDaylight,5108,6417
1,3259.57,3662.08,3501.97,1450471159,1450471261,200.19.151.143,2015-12-18 20:41:02 2015 UTC,4,100000,10,10000,0,0,32174,6455,25717,8,2,74,2,OpenDaylight,6487,6531
2,3550.50,3800.29,3666.45,1450471281,1450471383,200.19.151.143,2015-12-18 20:43:03 2015 UTC,4,100000,10,10000,0,0,32174,6462,25710,8,2,22,2,OpenDaylight,6538,6579
3,3464.83,3669.79,3569.83,1450471406,1450471509,200.19.151.143,2015-12-18 20:45:09 2015 UTC,4,100000,10,10000,0,0,32174,6478,25696,8,1,95,1,OpenDaylight,6585,6608
4,3010.24,3458.50,3303.46,1450471534,1450471637,200.19.151.143,2015-12-18 20:47:17 2015 UTC,4,100000,10,10000,0,0,32174,6778,25396,8,2,78,2,OpenDaylight,6614,6642
5,3000.20,3505.15,3346.30,1450471667,1450471770,200.19.151.143,2015-12-18 20:49:30 2015 UTC,4,100000,10,10000,0,0,32174,6794,25380,8,1,78,1,OpenDaylight,6649,6670
6,3423.94,3715.60,3608.55,1450471788,1450471891,200.19.151.143,2015-12-18 20:51:31 2015 UTC,4,100000,10,10000,0,0,32174,6820,25352,8,1,76,1,OpenDaylight,6675,6702
7,2903.60,3768.33,3504.39,1450471903,1450472006,200.19.151.143,2015-12-18 20:53:26 2015 UTC,4,100000,10,10000,0,0,32174,6822,25352,8,2,11,1,OpenDaylight,6704,6726
8,3230.39,3539.80,3427.59,1450472023,1450472125,200.19.151.143,2015-12-18 20:55:25 2015 UTC,4,100000,10,10000,0,0,32174,6821,25348,8,2,65,2,OpenDaylight,6734,6763
9,3210.60,3929.70,3680.80,1450472146,1450472248,200.19.151.143,2015-12-18 20:57:29 2015 UTC,4,100000,10,10000,0,0,32174,6832,25340,8,2,30,2,OpenDaylight,6772,6802
