run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,3292.45,3825.30,3616.17,1450399062,1450399165,200.19.151.143,2015-12-18 00:39:25 2015 UTC,8,100000,10,10000,0,0,32174,6698,25469,8,3,72,1,OpenDaylight,9056,9073
1,3741.58,3933.78,3858.03,1450399182,1450399285,200.19.151.143,2015-12-18 00:41:25 2015 UTC,8,100000,10,10000,0,0,32174,6796,25377,8,2,39,1,OpenDaylight,9077,9100
2,3855.28,4043.17,3943.41,1450399304,1450399408,200.19.151.143,2015-12-18 00:43:28 2015 UTC,8,100000,10,10000,0,0,32174,6796,25377,8,2,44,1,OpenDaylight,9104,9130
3,3551.91,4037.19,3856.25,1450399431,1450399534,200.19.151.143,2015-12-18 00:45:34 2015 UTC,8,100000,10,10000,0,0,32174,6808,25364,8,1,55,1,OpenDaylight,9137,9158
4,3548.73,4010.11,3833.44,1450399561,1450399664,200.19.151.143,2015-12-18 00:47:44 2015 UTC,8,100000,10,10000,0,0,32174,6965,25209,8,2,65,1,OpenDaylight,9164,9191
5,3832.23,4169.27,4025.86,1450399694,1450399798,200.19.151.143,2015-12-18 00:49:58 2015 UTC,8,100000,10,10000,0,0,32174,6986,25187,8,1,37,1,OpenDaylight,9199,9228
6,3027.81,4036.56,3888.43,1450399812,1450399914,200.19.151.143,2015-12-18 00:51:55 2015 UTC,8,100000,10,10000,0,0,32174,6988,25183,8,1,77,1,OpenDaylight,9233,9256
7,3725.90,4164.58,3956.22,1450399928,1450400031,200.19.151.143,2015-12-18 00:53:51 2015 UTC,8,100000,10,10000,0,0,32174,6990,25183,8,2,26,1,OpenDaylight,9259,9286
8,3543.99,4022.20,3881.79,1450400049,1450400152,200.19.151.143,2015-12-18 00:55:52 2015 UTC,8,100000,10,10000,0,0,32174,7002,25171,8,1,29,1,OpenDaylight,9290,9318
9,3708.05,4091.37,3927.63,1450400174,1450400277,200.19.151.143,2015-12-18 00:57:57 2015 UTC,8,100000,10,10000,0,0,32174,7034,25140,8,1,61,1,OpenDaylight,9324,9346
