run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,22826.88,31631.11,24353.00,1450480184,1450480287,200.19.151.143,2015-12-18 23:11:27 2015 UTC,2,100000,10,10000,0,0,32174,5507,26667,8,11,68,6,OpenDaylight,8979,8981
1,20064.33,30035.47,23046.38,1450480313,1450480416,200.19.151.143,2015-12-18 23:13:36 2015 UTC,2,100000,10,10000,0,0,32174,5511,26661,8,13,06,8,OpenDaylight,8984,8986
2,19623.86,39482.12,23745.93,1450480443,1450480548,200.19.151.143,2015-12-18 23:15:48 2015 UTC,2,100000,10,10000,0,0,32174,5546,26626,8,11,96,9,OpenDaylight,8990,8993
3,18020.98,48314.92,28291.73,1450480578,1450480681,200.19.151.143,2015-12-18 23:18:01 2015 UTC,2,100000,10,10000,0,0,32174,5546,26627,8,12,07,9,OpenDaylight,8996,9002
4,17721.39,36655.93,24147.31,1450480695,1450480798,200.19.151.143,2015-12-18 23:19:58 2015 UTC,2,100000,10,10000,0,0,32174,5549,26624,8,11,68,10,OpenDaylight,9004,9006
5,16643.02,34581.24,21494.99,1450480812,1450480914,200.19.151.143,2015-12-18 23:21:54 2015 UTC,2,100000,10,10000,0,0,32174,5556,26618,8,13,67,11,OpenDaylight,9007,9010
6,16134.18,32137.26,22435.57,1450480932,1450481035,200.19.151.143,2015-12-18 23:23:55 2015 UTC,2,100000,10,10000,0,0,32174,5555,26620,8,13,30,11,OpenDaylight,9012,9015
7,18171.12,38712.97,25028.27,1450481055,1450481159,200.19.151.143,2015-12-18 23:26:00 2015 UTC,2,100000,10,10000,0,0,32174,5532,26641,8,11,56,11,OpenDaylight,9018,9023
8,16903.81,33722.60,25031.54,1450481185,1450481288,200.19.151.143,2015-12-18 23:28:08 2015 UTC,2,100000,10,10000,0,0,32174,5533,26640,8,10,24,11,OpenDaylight,9025,9027
9,13209.50,43589.23,24929.58,1450481317,1450481420,200.19.151.143,2015-12-18 23:30:20 2015 UTC,2,100000,10,10000,0,0,32174,5533,26640,8,11,56,11,OpenDaylight,9029,9036
