run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,16788.65,25409.09,20752.79,1450480184,1450480288,200.19.151.143,2015-12-18 23:11:28 2015 UTC,2,100000,10,10000,0,0,32174,5504,26669,8,11,68,6,OpenDaylight,8979,8981
1,17723.96,41310.18,22389.22,1450480322,1450480426,200.19.151.143,2015-12-18 23:13:46 2015 UTC,2,100000,10,10000,0,0,32174,5514,26660,8,12,01,8,OpenDaylight,8984,8986
2,12801.16,44324.21,25146.93,1450480468,1450480572,200.19.151.143,2015-12-18 23:16:13 2015 UTC,2,100000,10,10000,0,0,32174,5551,26625,8,9,84,8,OpenDaylight,8992,8996
3,15590.33,35018.21,19923.48,1450480618,1450480724,200.19.151.143,2015-12-18 23:18:44 2015 UTC,2,100000,10,10000,0,0,32174,5554,26624,8,10,59,9,OpenDaylight,9000,9005
4,14833.14,32866.59,19005.04,1450480748,1450480850,200.19.151.143,2015-12-18 23:20:51 2015 UTC,2,100000,10,10000,0,0,32174,5550,26614,8,13,71,10,OpenDaylight,9005,9008
5,16108.57,31078.40,20209.51,1450480869,1450480972,200.19.151.143,2015-12-18 23:22:52 2015 UTC,2,100000,10,10000,0,0,32174,5559,26616,8,12,73,11,OpenDaylight,9008,9014
6,15728.76,30738.82,19883.40,1450480999,1450481103,200.19.151.143,2015-12-18 23:25:03 2015 UTC,2,100000,10,10000,0,0,32174,5543,26628,8,11,79,11,OpenDaylight,9015,9019
7,13127.72,29779.36,19813.61,1450481136,1450481240,200.19.151.143,2015-12-18 23:27:21 2015 UTC,2,100000,10,10000,0,0,32174,5536,26633,8,10,43,11,OpenDaylight,9022,9026
8,13968.33,31607.41,20598.21,1450481279,1450481383,200.19.151.143,2015-12-18 23:29:43 2015 UTC,2,100000,10,10000,0,0,32174,5535,26640,8,11,08,11,OpenDaylight,9027,9032
9,24862.69,35490.85,28865.32,1450481418,1450481522,200.19.151.143,2015-12-18 23:32:02 2015 UTC,2,100000,10,10000,0,0,32174,5535,26638,8,8,17,10,OpenDaylight,9036,9046
