run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,3284.26,3708.16,3522.68,1450472721,1450472826,200.19.151.143,2015-12-18 21:07:06 2015 UTC,4,100000,10,10000,0,0,32174,5515,26659,8,2,66,1,OpenDaylight,7429,7450
1,3152.36,3758.17,3572.39,1450472861,1450472964,200.19.151.143,2015-12-18 21:09:25 2015 UTC,4,100000,10,10000,0,0,32174,5516,26659,8,3,48,2,OpenDaylight,7461,7481
2,3233.86,3661.68,3475.74,1450472980,1450473082,200.19.151.143,2015-12-18 21:11:22 2015 UTC,4,100000,10,10000,0,0,32174,5516,26657,8,3,28,2,OpenDaylight,7485,7505
3,3215.15,3596.97,3465.78,1450473096,1450473198,200.19.151.143,2015-12-18 21:13:18 2015 UTC,4,100000,10,10000,0,0,32174,5516,26656,8,3,91,2,OpenDaylight,7511,7531
4,3086.46,3741.19,3615.64,1450473215,1450473318,200.19.151.143,2015-12-18 21:15:18 2015 UTC,4,100000,10,10000,0,0,32174,5519,26655,8,4,39,3,OpenDaylight,7536,7560
5,3322.60,3643.75,3515.93,1450473339,1450473442,200.19.151.143,2015-12-18 21:17:22 2015 UTC,4,100000,10,10000,0,0,32174,5522,26651,8,4,00,3,OpenDaylight,7565,7588
6,3328.55,3730.29,3548.18,1450473467,1450473571,200.19.151.143,2015-12-18 21:19:31 2015 UTC,4,100000,10,10000,0,0,32174,5527,26650,8,3,45,3,OpenDaylight,7597,7621
7,2883.49,3504.99,3259.34,1450473600,1450473703,200.19.151.143,2015-12-18 21:21:43 2015 UTC,4,100000,10,10000,0,0,32174,5523,26648,8,3,16,3,OpenDaylight,7629,7650
8,3350.19,3821.38,3572.17,1450473731,1450473833,200.19.151.143,2015-12-18 21:23:53 2015 UTC,4,100000,10,10000,0,0,32174,5525,26647,8,3,98,3,OpenDaylight,7656,7678
9,2260.20,3418.60,3093.88,1450473845,1450473947,200.19.151.143,2015-12-18 21:25:47 2015 UTC,4,100000,10,10000,0,0,32174,5559,26619,8,5,67,4,OpenDaylight,7680,7698
