run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1311.70,2359.00,2128.17,1450472728,1450472833,200.19.151.143,2015-12-18 21:07:13 2015 UTC,4,100000,10,10000,0,0,32174,5512,26660,8,2,25,1,OpenDaylight,7434,7454
1,872.50,2321.14,2112.93,1450472882,1450472987,200.19.151.143,2015-12-18 21:09:47 2015 UTC,4,100000,10,10000,0,0,32174,5518,26656,8,3,54,2,OpenDaylight,7466,7487
2,2124.82,2534.80,2234.40,1450473002,1450473104,200.19.151.143,2015-12-18 21:11:45 2015 UTC,4,100000,10,10000,0,0,32174,5516,26656,8,3,20,2,OpenDaylight,7491,7512
3,1745.04,2313.60,2146.49,1450473124,1450473227,200.19.151.143,2015-12-18 21:13:47 2015 UTC,4,100000,10,10000,0,0,32174,5518,26656,8,4,10,3,OpenDaylight,7517,7538
4,1905.87,2025.47,1957.46,1450473254,1450473358,200.19.151.143,2015-12-18 21:15:58 2015 UTC,4,100000,10,10000,0,0,32174,5521,26653,8,4,16,3,OpenDaylight,7545,7570
5,1643.03,2262.49,2090.09,1450473391,1450473495,200.19.151.143,2015-12-18 21:18:15 2015 UTC,4,100000,10,10000,0,0,32174,5523,26652,8,3,65,3,OpenDaylight,7579,7605
6,2139.14,2349.40,2199.98,1450473535,1450473640,200.19.151.143,2015-12-18 21:20:40 2015 UTC,4,100000,10,10000,0,0,32174,5522,26652,8,3,92,3,OpenDaylight,7614,7637
7,2150.59,2599.68,2283.50,1450473685,1450473792,200.19.151.143,2015-12-18 21:23:12 2015 UTC,4,100000,10,10000,0,0,32174,5523,26649,8,3,70,3,OpenDaylight,7647,7670
8,2058.80,2293.37,2217.03,1450473828,1450473930,200.19.151.143,2015-12-18 21:25:30 2015 UTC,4,100000,10,10000,0,0,32174,5899,26247,8,5,30,4,OpenDaylight,7676,7696
9,2057.47,2230.25,2165.96,1450473945,1450474048,200.19.151.143,2015-12-18 21:27:28 2015 UTC,4,100000,10,10000,0,0,32174,5549,26625,8,2,03,3,OpenDaylight,7698,7722
