run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,19877.15,55063.24,28855.38,1450486721,1450486824,200.19.151.143,2015-12-19 01:00:25 2015 UTC,8,100000,10,10000,0,0,32174,5431,26743,8,15,05,9,OpenDaylight,9716,9723
1,21297.23,45885.85,27938.49,1450486842,1450486945,200.19.151.143,2015-12-19 01:02:26 2015 UTC,8,100000,10,10000,0,0,32174,5446,26728,8,16,06,11,OpenDaylight,9724,9738
2,18889.24,36371.08,24881.45,1450486969,1450487073,200.19.151.143,2015-12-19 01:04:34 2015 UTC,8,100000,10,10000,0,0,32174,5457,26717,8,13,71,12,OpenDaylight,9742,9746
3,17187.10,32548.16,23913.52,1450487096,1450487200,200.19.151.143,2015-12-19 01:06:41 2015 UTC,8,100000,10,10000,0,0,32174,5465,26708,8,13,13,13,OpenDaylight,9750,9756
4,12811.31,32874.53,22449.04,1450487238,1450487343,200.19.151.143,2015-12-19 01:09:04 2015 UTC,8,100000,10,10000,0,0,32174,5488,26685,8,12,78,13,OpenDaylight,9758,9770
5,17265.52,27407.28,20558.10,1450487381,1450487487,200.19.151.143,2015-12-19 01:11:27 2015 UTC,8,100000,10,10000,0,0,32174,5501,26674,8,14,99,14,OpenDaylight,9772,9777
6,17183.58,31758.52,21267.98,1450487535,1450487640,200.19.151.143,2015-12-19 01:14:00 2015 UTC,8,100000,10,10000,0,0,32174,5513,26659,8,14,73,14,OpenDaylight,9783,9790
7,16347.66,27288.67,20940.01,1450487661,1450487765,200.19.151.143,2015-12-19 01:16:05 2015 UTC,8,100000,10,10000,0,0,32174,5530,26644,8,16,63,15,OpenDaylight,9792,9800
8,17475.92,27095.61,20863.71,1450487785,1450487888,200.19.151.143,2015-12-19 01:18:08 2015 UTC,8,100000,10,10000,0,0,32174,5553,26619,8,14,79,14,OpenDaylight,9800,9810
9,19427.94,31877.88,23681.44,1450487916,1450488020,200.19.151.143,2015-12-19 01:20:20 2015 UTC,8,100000,10,10000,0,0,32174,5558,26616,8,9,30,12,OpenDaylight,9812,9821
