run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,23522.16,36396.84,30294.13,1450486697,1450486800,200.19.151.143,2015-12-19 01:00:00 2015 UTC,8,100000,10,10000,0,0,32174,5426,26747,8,16,98,8,OpenDaylight,9715,9721
1,24721.96,35395.36,29063.04,1450486816,1450486919,200.19.151.143,2015-12-19 01:01:59 2015 UTC,8,100000,10,10000,0,0,32174,5446,26726,8,17,48,11,OpenDaylight,9723,9727
2,24182.12,40429.19,29832.96,1450486937,1450487040,200.19.151.143,2015-12-19 01:04:00 2015 UTC,8,100000,10,10000,0,0,32174,5457,26715,8,16,81,13,OpenDaylight,9728,9745
3,24107.56,39665.27,28533.26,1450487062,1450487166,200.19.151.143,2015-12-19 01:06:06 2015 UTC,8,100000,10,10000,0,0,32174,5473,26706,8,15,81,13,OpenDaylight,9746,9752
4,22394.23,42025.92,29052.52,1450487191,1450487296,200.19.151.143,2015-12-19 01:08:16 2015 UTC,8,100000,10,10000,0,0,32174,5478,26695,8,14,52,13,OpenDaylight,9755,9762
5,20968.41,34717.03,28920.87,1450487325,1450487429,200.19.151.143,2015-12-19 01:10:29 2015 UTC,8,100000,10,10000,0,0,32174,5500,26673,8,16,45,14,OpenDaylight,9768,9774
6,19721.95,34491.82,27465.85,1450487458,1450487560,200.19.151.143,2015-12-19 01:12:40 2015 UTC,8,100000,10,10000,0,0,32174,5508,26664,8,14,46,14,OpenDaylight,9776,9784
7,21369.09,30368.04,24128.39,1450487572,1450487675,200.19.151.143,2015-12-19 01:14:35 2015 UTC,8,100000,10,10000,0,0,32174,5522,26651,8,15,72,14,OpenDaylight,9786,9794
8,18051.92,28058.53,23664.15,1450487690,1450487793,200.19.151.143,2015-12-19 01:16:33 2015 UTC,8,100000,10,10000,0,0,32174,5531,26643,8,15,52,14,OpenDaylight,9796,9800
9,19898.88,32734.76,24950.14,1450487812,1450487915,200.19.151.143,2015-12-19 01:18:35 2015 UTC,8,100000,10,10000,0,0,32174,5557,26618,8,13,90,14,OpenDaylight,9804,9812
