run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1835.19,2356.84,2077.35,1450399066,1450399169,200.19.151.143,2015-12-18 00:39:29 2015 UTC,8,100000,10,10000,0,0,32174,6691,25482,8,3,58,1,OpenDaylight,9058,9074
1,2302.05,2657.89,2429.35,1450399192,1450399295,200.19.151.143,2015-12-18 00:41:35 2015 UTC,8,100000,10,10000,0,0,32174,6795,25378,8,2,32,1,OpenDaylight,9078,9102
2,1663.74,2610.21,2263.62,1450399322,1450399425,200.19.151.143,2015-12-18 00:43:45 2015 UTC,8,100000,10,10000,0,0,32174,6798,25377,8,2,19,1,OpenDaylight,9112,9135
3,2256.82,2435.69,2335.36,1450399455,1450399559,200.19.151.143,2015-12-18 00:46:00 2015 UTC,8,100000,10,10000,0,0,32174,6816,25358,8,1,16,1,OpenDaylight,9142,9164
4,2180.72,2337.76,2292.35,1450399594,1450399700,200.19.151.143,2015-12-18 00:48:20 2015 UTC,8,100000,10,10000,0,0,32174,6966,25207,8,1,61,1,OpenDaylight,9174,9200
5,2332.69,2460.32,2373.88,1450399745,1450399850,200.19.151.143,2015-12-18 00:50:51 2015 UTC,8,100000,10,10000,0,0,32174,6990,25183,8,1,54,1,OpenDaylight,9212,9243
6,2012.60,2333.70,2139.59,1450399881,1450399984,200.19.151.143,2015-12-18 00:53:04 2015 UTC,8,100000,10,10000,0,0,32174,6989,25184,8,1,34,1,OpenDaylight,9249,9272
7,1813.92,2344.75,2222.60,1450400001,1450400104,200.19.151.143,2015-12-18 00:55:04 2015 UTC,8,100000,10,10000,0,0,32174,7003,25166,8,1,56,1,OpenDaylight,9278,9306
8,2229.62,2412.99,2320.87,1450400129,1450400232,200.19.151.143,2015-12-18 00:57:12 2015 UTC,8,100000,10,10000,0,0,32174,7028,25145,8,1,63,1,OpenDaylight,9310,9336
9,1782.56,2407.48,2230.39,1450400265,1450400368,200.19.151.143,2015-12-18 00:59:29 2015 UTC,8,100000,10,10000,0,0,32174,7043,25131,8,0,66,1,OpenDaylight,9344,9365
