run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,20272.77,23993.69,22515.61,1450481970,1450482073,200.19.151.143,2015-12-18 23:41:13 2015 UTC,4,100000,10,10000,0,0,32174,5479,26693,8,15,30,7,OpenDaylight,9144,9149
1,18867.50,37139.88,22954.96,1450482094,1450482197,200.19.151.143,2015-12-18 23:43:17 2015 UTC,4,100000,10,10000,0,0,32174,5490,26683,8,15,45,10,OpenDaylight,9153,9160
2,18417.95,36024.79,22312.48,1450482222,1450482325,200.19.151.143,2015-12-18 23:45:25 2015 UTC,4,100000,10,10000,0,0,32174,5514,26661,8,15,19,11,OpenDaylight,9162,9170
3,14684.26,35650.50,22923.78,1450482353,1450482457,200.19.151.143,2015-12-18 23:47:37 2015 UTC,4,100000,10,10000,0,0,32174,5526,26647,8,15,76,13,OpenDaylight,9172,9179
4,20047.79,34778.84,24999.22,1450482495,1450482600,200.19.151.143,2015-12-18 23:50:00 2015 UTC,4,100000,10,10000,0,0,32174,5532,26642,8,13,39,13,OpenDaylight,9182,9187
5,15916.86,27761.28,20965.12,1450482651,1450482756,200.19.151.143,2015-12-18 23:52:37 2015 UTC,4,100000,10,10000,0,0,32174,5548,26625,8,15,95,14,OpenDaylight,9190,9198
6,19414.59,26636.51,21511.82,1450482805,1450482907,200.19.151.143,2015-12-18 23:55:07 2015 UTC,4,100000,10,10000,0,0,32174,5521,26652,8,16,68,14,OpenDaylight,9206,9217
7,17433.94,27308.75,21387.52,1450482923,1450483026,200.19.151.143,2015-12-18 23:57:06 2015 UTC,4,100000,10,10000,0,0,32174,5533,26640,8,16,88,15,OpenDaylight,9220,9231
8,16836.14,28145.76,20766.82,1450483047,1450483151,200.19.151.143,2015-12-18 23:59:11 2015 UTC,4,100000,10,10000,0,0,32174,5537,26635,8,13,36,14,OpenDaylight,9232,9247
9,23524.48,38989.53,27955.86,1450483179,1450483283,200.19.151.143,2015-12-19 00:01:24 2015 UTC,4,100000,10,10000,0,0,32174,5551,26621,8,8,86,12,OpenDaylight,9249,9260
