run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,23647.10,31358.88,29052.71,1450481967,1450482069,200.19.151.143,2015-12-18 23:41:09 2015 UTC,4,100000,10,10000,0,0,32174,5483,26689,8,16,45,7,OpenDaylight,9144,9149
1,27868.66,31346.56,29600.09,1450482086,1450482188,200.19.151.143,2015-12-18 23:43:08 2015 UTC,4,100000,10,10000,0,0,32174,5490,26683,8,17,99,10,OpenDaylight,9152,9158
2,22243.04,37933.40,27040.00,1450482207,1450482310,200.19.151.143,2015-12-18 23:45:10 2015 UTC,4,100000,10,10000,0,0,32174,5516,26659,8,16,23,12,OpenDaylight,9162,9166
3,25337.15,44081.24,28778.33,1450482332,1450482436,200.19.151.143,2015-12-18 23:47:16 2015 UTC,4,100000,10,10000,0,0,32174,5523,26651,8,17,96,13,OpenDaylight,9171,9176
4,22475.79,40200.24,28456.68,1450482461,1450482565,200.19.151.143,2015-12-18 23:49:25 2015 UTC,4,100000,10,10000,0,0,32174,5530,26643,8,16,15,13,OpenDaylight,9180,9184
5,23095.55,41430.89,31783.71,1450482594,1450482698,200.19.151.143,2015-12-18 23:51:38 2015 UTC,4,100000,10,10000,0,0,32174,5546,26627,8,16,10,14,OpenDaylight,9186,9192
6,21668.51,35099.76,28746.26,1450482717,1450482820,200.19.151.143,2015-12-18 23:53:40 2015 UTC,4,100000,10,10000,0,0,32174,5553,26620,8,14,23,14,OpenDaylight,9195,9208
7,22252.15,31972.39,26755.96,1450482833,1450482936,200.19.151.143,2015-12-18 23:55:36 2015 UTC,4,100000,10,10000,0,0,32174,5526,26648,8,16,50,14,OpenDaylight,9210,9221
8,21959.38,32923.24,25808.04,1450482952,1450483055,200.19.151.143,2015-12-18 23:57:35 2015 UTC,4,100000,10,10000,0,0,32174,5533,26641,8,16,28,15,OpenDaylight,9224,9233
9,19907.17,29629.19,24240.88,1450483076,1450483179,200.19.151.143,2015-12-18 23:59:39 2015 UTC,4,100000,10,10000,0,0,32174,5543,26634,8,11,91,13,OpenDaylight,9240,9249
