run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,3474.54,3955.92,3735.81,1450397268,1450397371,200.19.151.143,2015-12-18 00:09:31 2015 UTC,8,100000,10,10000,0,0,32174,5395,26774,8,3,07,1,OpenDaylight,8713,8728
1,3101.95,4012.19,3775.39,1450397397,1450397500,200.19.151.143,2015-12-18 00:11:40 2015 UTC,8,100000,10,10000,0,0,32174,5400,26772,8,3,28,2,OpenDaylight,8734,8754
2,3394.56,3955.80,3681.88,1450397526,1450397629,200.19.151.143,2015-12-18 00:13:50 2015 UTC,8,100000,10,10000,0,0,32174,5454,26719,8,4,90,2,OpenDaylight,8758,8780
3,2925.82,3982.19,3753.33,1450397659,1450397762,200.19.151.143,2015-12-18 00:16:03 2015 UTC,8,100000,10,10000,0,0,32174,5459,26717,8,3,81,3,OpenDaylight,8786,8806
4,3613.40,3975.17,3816.01,1450397776,1450397878,200.19.151.143,2015-12-18 00:17:58 2015 UTC,8,100000,10,10000,0,0,32174,5458,26715,8,3,54,3,OpenDaylight,8808,8828
5,3331.57,4114.74,3823.26,1450397892,1450397994,200.19.151.143,2015-12-18 00:19:54 2015 UTC,8,100000,10,10000,0,0,32174,5470,26729,8,5,21,3,OpenDaylight,8830,8849
6,3756.76,4211.29,3982.55,1450398012,1450398114,200.19.151.143,2015-12-18 00:21:54 2015 UTC,8,100000,10,10000,0,0,32174,5449,26725,8,3,54,3,OpenDaylight,8854,8871
7,3347.53,4033.41,3778.30,1450398135,1450398238,200.19.151.143,2015-12-18 00:23:58 2015 UTC,8,100000,10,10000,0,0,32174,5447,26727,8,4,08,3,OpenDaylight,8876,8897
8,3882.27,4146.32,4026.99,1450398263,1450398366,200.19.151.143,2015-12-18 00:26:06 2015 UTC,8,100000,10,10000,0,0,32174,5448,26724,8,3,33,3,OpenDaylight,8901,8922
9,3700.86,4223.29,4023.34,1450398395,1450398499,200.19.151.143,2015-12-18 00:28:20 2015 UTC,8,100000,10,10000,0,0,32174,5447,26726,8,3,35,3,OpenDaylight,8930,8950
