run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1235.07,1999.82,1780.02,1450475132,1450475236,200.19.151.143,2015-12-18 21:47:16 2015 UTC,2,100000,10,10000,0,0,32174,5363,26811,8,1,90,1,OpenDaylight,7928,7947
1,1408.10,2324.98,1819.52,1450475274,1450475378,200.19.151.143,2015-12-18 21:49:38 2015 UTC,2,100000,10,10000,0,0,32174,5365,26806,8,2,05,1,OpenDaylight,7956,7976
2,1548.61,2135.99,1767.18,1450475418,1450475522,200.19.151.143,2015-12-18 21:52:02 2015 UTC,2,100000,10,10000,0,0,32174,5347,26827,8,3,40,2,OpenDaylight,7988,8010
3,745.30,2207.48,1795.69,1450475573,1450475678,200.19.151.143,2015-12-18 21:54:38 2015 UTC,2,100000,10,10000,0,0,32174,5348,26825,8,3,17,2,OpenDaylight,8021,8049
4,1808.97,2127.77,1927.20,1450475692,1450475795,200.19.151.143,2015-12-18 21:56:35 2015 UTC,2,100000,10,10000,0,0,32174,5351,26823,8,2,52,2,OpenDaylight,8051,8072
5,1303.70,2094.08,1816.72,1450475814,1450475917,200.19.151.143,2015-12-18 21:58:37 2015 UTC,2,100000,10,10000,0,0,32174,5351,26822,8,2,95,2,OpenDaylight,8078,8100
6,1330.60,1658.99,1571.86,1450475942,1450476045,200.19.151.143,2015-12-18 22:00:45 2015 UTC,2,100000,10,10000,0,0,32174,5350,26822,8,2,59,2,OpenDaylight,8106,8131
7,1459.90,1610.89,1535.82,1450476078,1450476182,200.19.151.143,2015-12-18 22:03:02 2015 UTC,2,100000,10,10000,0,0,32174,5381,26792,8,2,70,2,OpenDaylight,8138,8160
8,1504.09,1786.00,1597.39,1450476224,1450476328,200.19.151.143,2015-12-18 22:05:29 2015 UTC,2,100000,10,10000,0,0,32174,5380,26793,8,3,10,2,OpenDaylight,8169,8196
9,1431.90,2134.60,1717.46,1450476369,1450476474,200.19.151.143,2015-12-18 22:07:54 2015 UTC,2,100000,10,10000,0,0,32174,5394,26812,8,1,07,1,OpenDaylight,8204,8232
