run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1144.10,1674.58,1473.38,1450475131,1450475235,200.19.151.143,2015-12-18 21:47:15 2015 UTC,2,100000,10,10000,0,0,32174,5364,26809,8,2,90,1,OpenDaylight,7928,7947
1,1473.46,1752.38,1587.40,1450475268,1450475372,200.19.151.143,2015-12-18 21:49:32 2015 UTC,2,100000,10,10000,0,0,32174,5366,26807,8,2,22,1,OpenDaylight,7954,7974
2,1050.54,1903.00,1665.01,1450475414,1450475518,200.19.151.143,2015-12-18 21:51:58 2015 UTC,2,100000,10,10000,0,0,32174,5349,26825,8,3,60,2,OpenDaylight,7986,8009
3,1464.19,2116.82,1738.73,1450475560,1450475664,200.19.151.143,2015-12-18 21:54:25 2015 UTC,2,100000,10,10000,0,0,32174,5349,26825,8,2,76,2,OpenDaylight,8018,8046
4,1451.80,1698.00,1588.01,1450475688,1450475790,200.19.151.143,2015-12-18 21:56:30 2015 UTC,2,100000,10,10000,0,0,32174,5350,26822,8,2,22,2,OpenDaylight,8051,8071
5,1520.89,1672.20,1600.34,1450475808,1450475911,200.19.151.143,2015-12-18 21:58:31 2015 UTC,2,100000,10,10000,0,0,32174,5351,26821,8,2,21,2,OpenDaylight,8075,8098
6,1267.40,1671.19,1576.70,1450475938,1450476041,200.19.151.143,2015-12-18 22:00:41 2015 UTC,2,100000,10,10000,0,0,32174,5352,26822,8,2,73,2,OpenDaylight,8105,8129
7,1873.30,1990.07,1932.61,1450476074,1450476178,200.19.151.143,2015-12-18 22:02:58 2015 UTC,2,100000,10,10000,0,0,32174,5381,26791,8,2,85,2,OpenDaylight,8138,8160
8,1583.00,1722.73,1641.57,1450476216,1450476319,200.19.151.143,2015-12-18 22:05:20 2015 UTC,2,100000,10,10000,0,0,32174,5381,26792,8,2,15,2,OpenDaylight,8166,8192
9,892.70,1689.95,1559.42,1450476359,1450476463,200.19.151.143,2015-12-18 22:07:43 2015 UTC,2,100000,10,10000,0,0,32174,5370,26803,8,1,29,2,OpenDaylight,8202,8228
