run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1870.18,2639.97,2451.96,1450475125,1450475228,200.19.151.143,2015-12-18 21:47:08 2015 UTC,2,100000,10,10000,0,0,32174,5363,26810,8,2,16,1,OpenDaylight,7926,7946
1,2572.38,2675.20,2637.02,1450475254,1450475357,200.19.151.143,2015-12-18 21:49:18 2015 UTC,2,100000,10,10000,0,0,32174,5366,26807,8,2,36,1,OpenDaylight,7951,7971
2,2096.88,2580.30,2458.96,1450475384,1450475487,200.19.151.143,2015-12-18 21:51:27 2015 UTC,2,100000,10,10000,0,0,32174,5385,26792,8,3,50,2,OpenDaylight,7978,8001
3,1712.20,2610.55,2458.23,1450475518,1450475621,200.19.151.143,2015-12-18 21:53:41 2015 UTC,2,100000,10,10000,0,0,32174,5348,26825,8,3,09,2,OpenDaylight,8008,8033
4,2413.98,2648.36,2591.40,1450475634,1450475736,200.19.151.143,2015-12-18 21:55:36 2015 UTC,2,100000,10,10000,0,0,32174,5350,26823,8,2,08,2,OpenDaylight,8037,8060
5,2009.48,2663.70,2483.16,1450475750,1450475853,200.19.151.143,2015-12-18 21:57:33 2015 UTC,2,100000,10,10000,0,0,32174,5352,26820,8,2,38,2,OpenDaylight,8065,8084
6,1936.00,2618.90,2354.02,1450475870,1450475973,200.19.151.143,2015-12-18 21:59:33 2015 UTC,2,100000,10,10000,0,0,32174,5352,26821,8,1,95,2,OpenDaylight,8088,8111
7,2004.46,2663.30,2465.67,1450475994,1450476097,200.19.151.143,2015-12-18 22:01:37 2015 UTC,2,100000,10,10000,0,0,32174,5382,26793,8,2,81,2,OpenDaylight,8116,8140
8,2265.08,2471.87,2339.52,1450476122,1450476225,200.19.151.143,2015-12-18 22:03:45 2015 UTC,2,100000,10,10000,0,0,32174,5381,26793,8,2,16,2,OpenDaylight,8147,8169
9,1810.79,2611.18,2416.93,1450476254,1450476357,200.19.151.143,2015-12-18 22:05:57 2015 UTC,2,100000,10,10000,0,0,32174,5381,26792,8,2,55,2,OpenDaylight,8179,8202
