run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1983.90,2637.08,2416.62,1450475129,1450475231,200.19.151.143,2015-12-18 21:47:12 2015 UTC,2,100000,10,10000,0,0,32174,5364,26811,8,2,06,1,OpenDaylight,7928,7947
1,2179.87,2645.58,2506.66,1450475258,1450475361,200.19.151.143,2015-12-18 21:49:21 2015 UTC,2,100000,10,10000,0,0,32174,5365,26807,8,2,17,1,OpenDaylight,7952,7972
2,2143.90,2544.37,2400.76,1450475388,1450475491,200.19.151.143,2015-12-18 21:51:31 2015 UTC,2,100000,10,10000,0,0,32174,5381,26793,8,3,38,2,OpenDaylight,7979,8002
3,2020.00,2576.95,2408.93,1450475521,1450475625,200.19.151.143,2015-12-18 21:53:45 2015 UTC,2,100000,10,10000,0,0,32174,5347,26826,8,3,09,2,OpenDaylight,8010,8035
4,2358.57,2605.57,2501.01,1450475637,1450475739,200.19.151.143,2015-12-18 21:55:40 2015 UTC,2,100000,10,10000,0,0,32174,5350,26822,8,2,08,2,OpenDaylight,8037,8060
5,2458.98,2572.40,2497.11,1450475753,1450475856,200.19.151.143,2015-12-18 21:57:36 2015 UTC,2,100000,10,10000,0,0,32174,5351,26823,8,2,38,2,OpenDaylight,8065,8084
6,2333.36,2679.80,2556.02,1450475873,1450475976,200.19.151.143,2015-12-18 21:59:36 2015 UTC,2,100000,10,10000,0,0,32174,5351,26823,8,1,95,2,OpenDaylight,8088,8112
7,2144.89,2700.35,2469.82,1450475997,1450476100,200.19.151.143,2015-12-18 22:01:40 2015 UTC,2,100000,10,10000,0,0,32174,5381,26793,8,2,81,2,OpenDaylight,8116,8141
8,1985.10,2524.60,2180.11,1450476124,1450476227,200.19.151.143,2015-12-18 22:03:48 2015 UTC,2,100000,10,10000,0,0,32174,5380,26792,8,2,15,2,OpenDaylight,8147,8170
9,2406.50,2648.56,2506.48,1450476256,1450476360,200.19.151.143,2015-12-18 22:06:00 2015 UTC,2,100000,10,10000,0,0,32174,5381,26793,8,2,55,2,OpenDaylight,8181,8202
