run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,4524.96,7859.17,5175.04,1450485119,1450485222,200.19.151.143,2015-12-19 00:33:43 2015 UTC,8,100000,10,10000,0,0,32174,7946,24225,8,6,17,4,OpenDaylight,9508,9518
1,6893.08,14270.38,9014.44,1450485254,1450485359,200.19.151.143,2015-12-19 00:35:59 2015 UTC,8,100000,10,10000,0,0,32174,9678,22497,8,8,98,6,OpenDaylight,9532,9538
2,13315.58,26378.81,17198.86,1450485396,1450485500,200.19.151.143,2015-12-19 00:38:21 2015 UTC,8,100000,10,10000,0,0,32174,9792,22381,8,7,22,6,OpenDaylight,9542,9558
3,13422.75,25601.70,16687.63,1450485549,1450485653,200.19.151.143,2015-12-19 00:40:54 2015 UTC,8,100000,10,10000,0,0,32174,9798,22375,8,7,20,6,OpenDaylight,9573,9584
4,12906.08,22154.89,14455.45,1450485684,1450485787,200.19.151.143,2015-12-19 00:43:07 2015 UTC,8,100000,10,10000,0,0,32174,9826,22348,8,7,61,7,OpenDaylight,9585,9597
5,13518.00,28279.86,16799.70,1450485804,1450485907,200.19.151.143,2015-12-19 00:45:07 2015 UTC,8,100000,10,10000,0,0,32174,9835,22338,8,8,45,7,OpenDaylight,9598,9604
6,13216.69,27244.19,17150.00,1450485928,1450486032,200.19.151.143,2015-12-19 00:47:12 2015 UTC,8,100000,10,10000,0,0,32174,9835,22339,8,7,71,7,OpenDaylight,9606,9615
7,13225.72,28378.10,17915.46,1450486064,1450486169,200.19.151.143,2015-12-19 00:49:29 2015 UTC,8,100000,10,10000,0,0,32174,9841,22337,8,6,96,7,OpenDaylight,9618,9628
8,13412.48,29269.78,18447.73,1450486204,1450486309,200.19.151.143,2015-12-19 00:51:49 2015 UTC,8,100000,10,10000,0,0,32174,9838,22337,8,7,80,7,OpenDaylight,9630,9640
9,22704.42,29355.02,27897.33,1450486350,1450486455,200.19.151.143,2015-12-19 00:54:16 2015 UTC,8,100000,10,10000,0,0,32174,9832,22342,8,6,65,7,OpenDaylight,9643,9652
