run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,4426.24,7363.74,5093.72,1450485116,1450485219,200.19.151.143,2015-12-19 00:33:39 2015 UTC,8,100000,10,10000,0,0,32174,7958,24220,8,6,54,4,OpenDaylight,9507,9518
1,6534.66,24753.61,10221.37,1450485244,1450485347,200.19.151.143,2015-12-19 00:35:48 2015 UTC,8,100000,10,10000,0,0,32174,9432,22741,8,8,97,6,OpenDaylight,9525,9538
2,13102.02,26638.80,16825.64,1450485374,1450485477,200.19.151.143,2015-12-19 00:37:57 2015 UTC,8,100000,10,10000,0,0,32174,9795,22378,8,7,40,6,OpenDaylight,9540,9555
3,13368.44,26912.95,19270.33,1450485507,1450485611,200.19.151.143,2015-12-19 00:40:11 2015 UTC,8,100000,10,10000,0,0,32174,9802,22371,8,7,65,6,OpenDaylight,9568,9578
4,13427.64,27346.84,20940.15,1450485626,1450485729,200.19.151.143,2015-12-19 00:42:09 2015 UTC,8,100000,10,10000,0,0,32174,9885,22277,8,7,64,7,OpenDaylight,9580,9589
5,12683.42,27117.91,16239.08,1450485742,1450485845,200.19.151.143,2015-12-19 00:44:05 2015 UTC,8,100000,10,10000,0,0,32174,9820,22354,8,8,34,7,OpenDaylight,9589,9600
6,13031.39,27436.69,16916.54,1450485863,1450485965,200.19.151.143,2015-12-19 00:46:06 2015 UTC,8,100000,10,10000,0,0,32174,9827,22349,8,7,62,7,OpenDaylight,9601,9610
7,13261.61,26921.47,18487.26,1450485987,1450486090,200.19.151.143,2015-12-19 00:48:10 2015 UTC,8,100000,10,10000,0,0,32174,9831,22343,8,6,77,7,OpenDaylight,9611,9622
8,13257.23,27993.72,18820.36,1450486115,1450486218,200.19.151.143,2015-12-19 00:50:18 2015 UTC,8,100000,10,10000,0,0,32174,9834,22339,8,7,17,7,OpenDaylight,9624,9632
9,13501.06,32016.06,19145.69,1450486247,1450486351,200.19.151.143,2015-12-19 00:52:31 2015 UTC,8,100000,10,10000,0,0,32174,9834,22339,8,7,48,7,OpenDaylight,9634,9643
