run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,4496.88,9142.03,5283.97,1450485122,1450485226,200.19.151.143,2015-12-19 00:33:46 2015 UTC,8,100000,10,10000,0,0,32174,7947,24227,8,6,17,4,OpenDaylight,9508,9519
1,6765.88,21997.33,9818.53,1450485260,1450485364,200.19.151.143,2015-12-19 00:36:05 2015 UTC,8,100000,10,10000,0,0,32174,9780,22391,8,8,26,6,OpenDaylight,9533,9538
2,13201.66,39223.32,19454.34,1450485403,1450485508,200.19.151.143,2015-12-19 00:38:29 2015 UTC,8,100000,10,10000,0,0,32174,9791,22382,8,7,64,6,OpenDaylight,9543,9568
3,13085.24,27104.18,16288.68,1450485553,1450485657,200.19.151.143,2015-12-19 00:40:58 2015 UTC,8,100000,10,10000,0,0,32174,9796,22378,8,7,83,7,OpenDaylight,9574,9584
4,12632.28,21979.92,14510.87,1450485704,1450485807,200.19.151.143,2015-12-19 00:43:27 2015 UTC,8,100000,10,10000,0,0,32174,9824,22350,8,7,60,7,OpenDaylight,9586,9598
5,13037.96,29188.04,16722.47,1450485821,1450485925,200.19.151.143,2015-12-19 00:45:25 2015 UTC,8,100000,10,10000,0,0,32174,9823,22348,8,8,27,7,OpenDaylight,9599,9606
6,13054.75,28537.90,17390.26,1450485944,1450486048,200.19.151.143,2015-12-19 00:47:28 2015 UTC,8,100000,10,10000,0,0,32174,9827,22346,8,7,49,7,OpenDaylight,9608,9616
7,13319.71,28667.64,18074.96,1450486077,1450486180,200.19.151.143,2015-12-19 00:49:41 2015 UTC,8,100000,10,10000,0,0,32174,9831,22342,8,6,67,7,OpenDaylight,9618,9629
8,13464.02,29429.08,18212.76,1450486211,1450486315,200.19.151.143,2015-12-19 00:51:56 2015 UTC,8,100000,10,10000,0,0,32174,9835,22337,8,7,74,7,OpenDaylight,9631,9640
9,26830.15,31977.64,28889.10,1450486350,1450486455,200.19.151.143,2015-12-19 00:54:15 2015 UTC,8,100000,10,10000,0,0,32174,9830,22343,8,6,65,7,OpenDaylight,9643,9652
