run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,4088.56,13036.66,9272.15,1450478617,1450478720,200.19.151.143,2015-12-18 22:45:21 2015 UTC,2,100000,10,10000,0,0,32174,6242,25932,8,5,19,2,OpenDaylight,8716,8724
1,12870.94,17742.73,14017.01,1450478755,1450478857,200.19.151.143,2015-12-18 22:47:37 2015 UTC,2,100000,10,10000,0,0,32174,6296,25877,8,4,81,2,OpenDaylight,8731,8743
2,10955.61,13359.30,12246.55,1450478868,1450478971,200.19.151.143,2015-12-18 22:49:31 2015 UTC,2,100000,10,10000,0,0,32174,6327,25847,8,5,56,3,OpenDaylight,8745,8758
3,13048.05,17227.92,14033.21,1450478985,1450479088,200.19.151.143,2015-12-18 22:51:28 2015 UTC,2,100000,10,10000,0,0,32174,6308,25864,8,5,66,4,OpenDaylight,8760,8771
4,12613.55,17369.90,14147.07,1450479106,1450479209,200.19.151.143,2015-12-18 22:53:29 2015 UTC,2,100000,10,10000,0,0,32174,6310,25865,8,5,01,4,OpenDaylight,8775,8789
5,7763.13,17443.54,14134.59,1450479230,1450479334,200.19.151.143,2015-12-18 22:55:34 2015 UTC,2,100000,10,10000,0,0,32174,6437,25786,8,6,35,4,OpenDaylight,8793,8808
6,12440.29,16540.20,14002.49,1450479359,1450479463,200.19.151.143,2015-12-18 22:57:43 2015 UTC,2,100000,10,10000,0,0,32174,6333,25839,8,5,72,5,OpenDaylight,8813,8829
7,12403.27,17451.82,15102.82,1450479492,1450479596,200.19.151.143,2015-12-18 22:59:56 2015 UTC,2,100000,10,10000,0,0,32174,6336,25835,8,4,78,4,OpenDaylight,8834,8847
8,12336.12,16808.20,13503.23,1450479614,1450479717,200.19.151.143,2015-12-18 23:01:57 2015 UTC,2,100000,10,10000,0,0,32174,6338,25835,8,5,33,5,OpenDaylight,8851,8864
9,12674.98,13525.86,12935.39,1450479730,1450479832,200.19.151.143,2015-12-18 23:03:52 2015 UTC,2,100000,10,10000,0,0,32174,6340,25832,8,5,91,5,OpenDaylight,8870,8882
