run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,4370.61,16014.42,10052.82,1450478624,1450478729,200.19.151.143,2015-12-18 22:45:29 2015 UTC,2,100000,10,10000,0,0,32174,6241,25932,8,4,68,2,OpenDaylight,8717,8724
1,12864.20,17353.64,13577.74,1450478785,1450478889,200.19.151.143,2015-12-18 22:48:09 2015 UTC,2,100000,10,10000,0,0,32174,6292,25881,8,5,14,3,OpenDaylight,8735,8747
2,12200.26,18276.39,13287.11,1450478902,1450479005,200.19.151.143,2015-12-18 22:50:05 2015 UTC,2,100000,10,10000,0,0,32174,6325,25848,8,5,51,3,OpenDaylight,8749,8762
3,12987.16,18304.04,14452.27,1450479027,1450479131,200.19.151.143,2015-12-18 22:52:11 2015 UTC,2,100000,10,10000,0,0,32174,6308,25865,8,5,27,4,OpenDaylight,8765,8777
4,12914.01,18441.87,14391.30,1450479158,1450479262,200.19.151.143,2015-12-18 22:54:22 2015 UTC,2,100000,10,10000,0,0,32174,6313,25856,8,4,70,4,OpenDaylight,8783,8797
5,9708.87,18260.50,13501.78,1450479295,1450479400,200.19.151.143,2015-12-18 22:56:40 2015 UTC,2,100000,10,10000,0,0,32174,6338,25834,8,5,80,5,OpenDaylight,8802,8819
6,12543.09,17978.83,14487.07,1450479432,1450479537,200.19.151.143,2015-12-18 22:58:58 2015 UTC,2,100000,10,10000,0,0,32174,6334,25838,8,5,63,5,OpenDaylight,8824,8839
7,12496.13,17231.06,13564.82,1450479586,1450479691,200.19.151.143,2015-12-18 23:01:31 2015 UTC,2,100000,10,10000,0,0,32174,6340,25833,8,5,90,5,OpenDaylight,8845,8860
8,12771.03,13926.66,13126.30,1450479723,1450479826,200.19.151.143,2015-12-18 23:03:46 2015 UTC,2,100000,10,10000,0,0,32174,6344,25830,8,5,99,5,OpenDaylight,8866,8882
9,17726.81,20267.58,18357.53,1450479842,1450479945,200.19.151.143,2015-12-18 23:05:45 2015 UTC,2,100000,10,10000,0,0,32174,6343,25830,8,3,76,4,OpenDaylight,8885,8910
