run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,4447.37,12987.38,9255.62,1450478612,1450478717,200.19.151.143,2015-12-18 22:45:17 2015 UTC,2,100000,10,10000,0,0,32174,6241,25932,8,5,29,2,OpenDaylight,8714,8723
1,12891.09,17152.73,13892.26,1450478753,1450478857,200.19.151.143,2015-12-18 22:47:37 2015 UTC,2,100000,10,10000,0,0,32174,6296,25881,8,4,81,2,OpenDaylight,8731,8743
2,10821.12,13772.33,12404.68,1450478867,1450478970,200.19.151.143,2015-12-18 22:49:30 2015 UTC,2,100000,10,10000,0,0,32174,6329,25846,8,5,56,3,OpenDaylight,8745,8758
3,13014.09,16836.05,14076.91,1450478984,1450479087,200.19.151.143,2015-12-18 22:51:27 2015 UTC,2,100000,10,10000,0,0,32174,6309,25865,8,5,66,4,OpenDaylight,8760,8771
4,12643.15,17414.81,14281.87,1450479105,1450479208,200.19.151.143,2015-12-18 22:53:28 2015 UTC,2,100000,10,10000,0,0,32174,6308,25865,8,5,10,4,OpenDaylight,8775,8789
5,7889.97,17645.73,14214.80,1450479230,1450479333,200.19.151.143,2015-12-18 22:55:33 2015 UTC,2,100000,10,10000,0,0,32174,6470,25755,8,6,56,4,OpenDaylight,8792,8808
6,12529.59,16864.04,14190.49,1450479359,1450479463,200.19.151.143,2015-12-18 22:57:43 2015 UTC,2,100000,10,10000,0,0,32174,6335,25838,8,5,72,5,OpenDaylight,8813,8829
7,12564.85,17876.08,15225.62,1450479492,1450479596,200.19.151.143,2015-12-18 22:59:56 2015 UTC,2,100000,10,10000,0,0,32174,6341,25833,8,4,78,4,OpenDaylight,8834,8847
8,12079.21,16681.91,13387.32,1450479615,1450479718,200.19.151.143,2015-12-18 23:01:58 2015 UTC,2,100000,10,10000,0,0,32174,6339,25836,8,5,33,5,OpenDaylight,8852,8865
9,12670.93,13635.07,12937.25,1450479730,1450479833,200.19.151.143,2015-12-18 23:03:53 2015 UTC,2,100000,10,10000,0,0,32174,6343,25832,8,5,91,5,OpenDaylight,8870,8882
