run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,4344.14,16897.82,7164.23,1450483539,1450483644,200.19.151.143,2015-12-19 00:07:25 2015 UTC,4,100000,10,10000,0,0,32174,7469,24704,8,6,29,6,OpenDaylight,9316,9322
1,14068.26,22932.54,15892.31,1450483691,1450483796,200.19.151.143,2015-12-19 00:09:57 2015 UTC,4,100000,10,10000,0,0,32174,7511,24663,8,6,62,6,OpenDaylight,9330,9341
2,13188.64,23302.92,15701.76,1450483816,1450483919,200.19.151.143,2015-12-19 00:11:59 2015 UTC,4,100000,10,10000,0,0,32174,7547,24625,8,6,23,6,OpenDaylight,9344,9357
3,13122.75,24873.25,16175.00,1450483940,1450484043,200.19.151.143,2015-12-19 00:14:04 2015 UTC,4,100000,10,10000,0,0,32174,7547,24625,8,6,38,6,OpenDaylight,9359,9366
4,11988.13,24546.56,16463.05,1450484071,1450484175,200.19.151.143,2015-12-19 00:16:15 2015 UTC,4,100000,10,10000,0,0,32174,7558,24615,8,7,33,6,OpenDaylight,9368,9378
5,13157.73,25474.92,16999.31,1450484207,1450484311,200.19.151.143,2015-12-19 00:18:31 2015 UTC,4,100000,10,10000,0,0,32174,7555,24619,8,7,60,7,OpenDaylight,9380,9391
6,13366.05,26334.88,17558.91,1450484357,1450484462,200.19.151.143,2015-12-19 00:21:02 2015 UTC,4,100000,10,10000,0,0,32174,7557,24617,8,6,86,6,OpenDaylight,9395,9403
7,13476.22,26338.01,17439.86,1450484500,1450484605,200.19.151.143,2015-12-19 00:23:25 2015 UTC,4,100000,10,10000,0,0,32174,7566,24604,8,7,23,6,OpenDaylight,9407,9422
8,13376.90,18038.33,14044.28,1450484653,1450484755,200.19.151.143,2015-12-19 00:25:55 2015 UTC,4,100000,10,10000,0,0,32174,7562,24611,8,6,90,6,OpenDaylight,9429,9443
9,26268.75,35081.78,28226.64,1450484770,1450484874,200.19.151.143,2015-12-19 00:27:54 2015 UTC,4,100000,10,10000,0,0,32174,7531,24642,8,6,01,6,OpenDaylight,9446,9458
